Tipo Registrante,Gruppo Sconto,Cod.,Denominazione,Indirizzo,Cap,Città,Prov.,Regione,Nazione,Partita Iva,Codice fiscale,Elenco dest.,Nome Azienda,Extra 2,Note,Num. listino,Sconti,Banca,Pagamento,Fatt. con Iva,Rif. Persona,Desc. Tel. 1,Tel. 1,Desc. Tel. 2,Tel. 2,Desc. Tel. 3,Tel. 3,Cell,Fax,e-mail,Home page,Login web,Conto reg.,Note doc.
Privato,,PAZ05778,Caruso Stefano,"Piazza del Comune, 38",10123,Torino,TO,Piemonte,Italia,,CRSSFN96A16L219,,,,,,,Banca Intesa Sanpaolo,RID bancario,No,Stefano Caruso,Casa,0299629260,,,,,3358889594,,stefano.caruso23@libero.it,,,,
Azienda,B,EXT13379,Piccolo Cristina,"Corso Italia, 93",20124,Milano,MI,Lombardia,Italia,,PCCCST88H68F205,,,,,,,UniCredit,Contanti,Sì,Cristina Piccolo,Casa,0427751569,,,,,3041975989,,cristina.piccolo55@libero.it,,,,
Privato,,PAZ06485,Marchetti Sofia,"Corso Umberto I, 56",20122,Milano,MI,Lombardia,Italia,,MRCSFO40R65F205,,,,,,,Banca MPS,Bonifico bancario 30gg,Sì,Sofia Marchetti,Casa,0104543809,,,,,3866683659,,sofia.marchetti40@libero.it,,,,
Professionista,C,PAZ03942,Fabbri Andrea,"Via Leopardi, 185",80121,Napoli,NA,Campania,Italia,,FBBNDR65T21F839,,,,,,,Banco BPM,Carta di credito,No,Andrea Fabbri,Casa,0489671782,,,,,3056148394,,andrea.fabbri12@gmail.com,,,,
Privato,C,PAZ09270,Silvestri Alessandra,"Piazza del Comune, 36",84121,Salerno,SA,Campania,Italia,,SLVLSN87R49H703,,,,,,,Banca MPS,Contanti,Sì,Alessandra Silvestri,Casa,0934980196,,,,,3851553168,,alessandra.silvestri79@gmail.com,,,,
Privato,A,PAZ03717,Silvestri Anna,"Viale Europa, 150",84123,Salerno,SA,Campania,Italia,,SLVNNA96E48H703,,,,,,,Banca MPS,Carta di credito,No,Anna Silvestri,Casa,0185057310,,,,,3567827208,,anna.silvestri93@libero.it,,,,
Privato,B,PAZ05046,Ruggiero Cristina,"Via Nazionale, 99",84123,Salerno,SA,Campania,Italia,,RGGCST98C64H703,,,,,,,Banco BPM,Bonifico bancario 30gg,Sì,Cristina Ruggiero,Casa,0251745177,,,,,3591296551,,cristina.ruggiero64@libero.it,,,,
Privato,A,PAZ01710,Sorrentino Vincenzo,"Piazza del Comune, 18",10125,Torino,TO,Piemonte,Italia,,SRRVCN81B15L219,,,,,,,Banca Mediolanum,Assegno bancario,No,Vincenzo Sorrentino,Casa,0844023042,,,,,3062411345,,vincenzo.sorrentino75@libero.it,,,,
Privato,A,EXT13118,Moretti Enrico,"Viale Europa, 22",00141,Roma,RM,Lazio,Italia,,MRTNRC43L07H501,,,,,,,Banco BPM,PayPal,No,Enrico Moretti,Casa,0207794780,,,,,3220452079,,enrico.moretti1@libero.it,,,,
Privato,,EXT13819,Vitale Matteo,"Via Matteotti, 125",20123,Milano,MI,Lombardia,Italia,,VTLMTT60S28F205,,,,,,,BPER Banca,PayPal,Sì,Matteo Vitale,Casa,0432729194,,,,,3113594802,,matteo.vitale90@gmail.com,,,,
Professionista,B,PAZ05960,Caruso Stefano,"Corso Umberto I, 25",80122,Napoli,NA,Campania,Italia,,CRSSFN78P05F839,,,,,,,UniCredit,Carta di credito,No,Stefano Caruso,Casa,0573832264,,,,,3774723457,,stefano.caruso75@gmail.com,,,,
Privato,B,PAZ00562,Mancini Concetta,"Via Marconi, 56",84123,Salerno,SA,Campania,Italia,,MNCCCT00P62H703,,,,,,,Poste Italiane - BancoPosta,RID bancario,Sì,Concetta Mancini,Casa,0888129107,,,,,3778419235,,concetta.mancini85@gmail.com,,,,
Azienda,A,EXT13768,Fontana Serena,"Via Garibaldi, 65",00118,Roma,RM,Lazio,Italia,,FNTSRN69H66H501,,,,,,,Banca Mediolanum,Carta di credito,No,Serena Fontana,Casa,0272141114,,,,,3364106437,,serena.fontana8@libero.it,,,,
Privato,C,PAZ04231,Sorrentino Monica,"Via Garibaldi, 175",84123,Salerno,SA,Campania,Italia,,SRRMNC96E56H703,,,,,,,Banca Intesa Sanpaolo,Bonifico bancario 30gg,No,Monica Sorrentino,Casa,0945515907,,,,,3476520669,,monica.sorrentino61@libero.it,,,,
Privato,,PAZ00640,Greco Simone,"Via Verdi, 143",00100,Roma,RM,Lazio,Italia,,GRCSMN70D02H501,,,,,,,Banco BPM,PayPal,Sì,Simone Greco,Casa,0401256705,,,,,3846494968,,simone.greco63@libero.it,,,,
Azienda,B,PAZ01669,Costa Silvia,"Via Milano, 73",20123,Milano,MI,Lombardia,Italia,,CSTSLV63R48F205,,,,,,,Poste Italiane - BancoPosta,RID bancario,Sì,Silvia Costa,Casa,0456993646,,,,,3066130231,,silvia.costa41@libero.it,,,,
Professionista,B,PAZ03000,Pellegrini Elisa,"Corso Vittorio Emanuele, 187",80123,Napoli,NA,Campania,Italia,,PLLLSE61L43F839,,,,,,,Poste Italiane - BancoPosta,PayPal,No,Elisa Pellegrini,Casa,0232755900,,,,,3485602879,,elisa.pellegrini27@libero.it,,,,
Privato,A,PAZ07309,Coppola Laura,"Via IV Novembre, 175",20123,Milano,MI,Lombardia,Italia,,CPPLRA70E53F205,,,,,,,Poste Italiane - BancoPosta,Bonifico bancario 30gg,No,Laura Coppola,Casa,0659855585,,,,,3868120464,,laura.coppola51@libero.it,,,,
Privato,B,EXT13396,Monti Maria,"Via Leopardi, 59",80121,Napoli,NA,Campania,Italia,,MNTMRA54M62F839,,,,,,,BPER Banca,RID bancario,No,Maria Monti,Casa,0526283105,,,,,3535442303,,maria.monti99@gmail.com,,,,
Azienda,A,PAZ07809,Sartori Gianluca,"Via Tasso, 129",20122,Milano,MI,Lombardia,Italia,,SRTGLC96B07F205,,,,,,,Banco BPM,RID bancario,No,Gianluca Sartori,Casa,0576544223,,,,,3013787784,,gianluca.sartori97@gmail.com,,,,
Privato,A,PAZ02407,Ferretti Laura,"Via della Repubblica, 19",10121,Torino,TO,Piemonte,Italia,,FRRLRA67R48L219,,,,,,,Banco BPM,Assegno bancario,No,Laura Ferretti,Casa,0438122017,,,,,3615638544,,laura.ferretti50@gmail.com,,,,
Privato,B,EXT12567,Serra Teresa,"Via Dante, 123",10123,Torino,TO,Piemonte,Italia,,SRRTRS74B66L219,,,,,,,Poste Italiane - BancoPosta,Carta di credito,No,Teresa Serra,Casa,0369379166,,,,,3531054922,,teresa.serra45@libero.it,,,,
Privato,A,PAZ07506,Marchetti Serena,"Corso Umberto I, 107",80122,Napoli,NA,Campania,Italia,,MRCSRN85C65F839,,,,,,,Banca Mediolanum,Contanti,No,Serena Marchetti,Casa,0379724815,,,,,3370675660,,serena.marchetti9@gmail.com,,,,
Professionista,A,PAZ07799,Longo Daniele,"Via Dante, 126",00136,Roma,RM,Lazio,Italia,,LNGDNL90T14H501,,,,,,,Banca Intesa Sanpaolo,RID bancario,No,Daniele Longo,Casa,0454227376,,,,,3351642699,,daniele.longo51@gmail.com,,,,
Privato,B,PAZ04226,Martini Stefano,"Via della Libertà, 95",20124,Milano,MI,Lombardia,Italia,,MRTSFN93S03F205,,,,,,,Banca Mediolanum,Assegno bancario,Sì,Stefano Martini,Casa,0495286691,,,,,3074895390,,stefano.martini14@gmail.com,,,,
Azienda,A,PAZ09826,Piras Lorenza,"Viale Europa, 22",20123,Milano,MI,Lombardia,Italia,,PRSLNZ74A49F205,,,,,,,Banca Mediolanum,RID bancario,Sì,Lorenza Piras,Casa,0223996964,,,,,3866491080,,lorenza.piras41@gmail.com,,,,
Privato,,PAZ08446,Bruno Elisa,"Corso Umberto I, 44",84122,Salerno,SA,Campania,Italia,,BRNLSE65S52H703,,,,,,,Poste Italiane - BancoPosta,Contanti,No,Elisa Bruno,Casa,0677759283,,,,,3592771682,,elisa.bruno93@libero.it,,,,
Privato,,PAZ02910,Russo Fabio,"Via Napoli, 105",80121,Napoli,NA,Campania,Italia,,RSSFBA58C05F839,,,,,,,Banca Mediolanum,Bonifico bancario 30gg,No,Fabio Russo,Casa,0235071968,,,,,3570694772,,fabio.russo15@gmail.com,,,,
Privato,,EXT13878,Ruggiero Carmela,"Via Leopardi, 68",10124,Torino,TO,Piemonte,Italia,,RGGCML61D65L219,,,,,,,Banca MPS,Bonifico bancario 30gg,Sì,Carmela Ruggiero,Casa,0893192083,,,,,3144225753,,carmela.ruggiero37@gmail.com,,,,
Professionista,,EXT14367,Esposito Monica,"Via Napoli, 7",84121,Salerno,SA,Campania,Italia,,SPSMNC85C43H703,,,,,,,UniCredit,Contanti,Sì,Monica Esposito,Casa,0974011303,,,,,3044354817,,monica.esposito8@gmail.com,,,,
Privato,C,EXT12104,Silvestri Gianluca,"Via della Repubblica, 174",10125,Torino,TO,Piemonte,Italia,,SLVGLC76L10L219,,,,,,,Poste Italiane - BancoPosta,Carta di credito,No,Gianluca Silvestri,Casa,0563553230,,,,,3866919185,,gianluca.silvestri67@libero.it,,,,
Privato,,EXT10186,Orlando Nicola,"Via Tasso, 117",20121,Milano,MI,Lombardia,Italia,,RLNNCL52L11F205,,,,,,,Banco BPM,RID bancario,No,Nicola Orlando,Casa,0102403269,,,,,3516631456,,nicola.orlando81@gmail.com,,,,
Professionista,A,EXT10730,Ricci Luca,"Corso Umberto I, 77",84124,Salerno,SA,Campania,Italia,,RCCLCU05T18H703,,,,,,,Banca MPS,Assegno bancario,Sì,Luca Ricci,Casa,0606710344,,,,,3324327412,,luca.ricci41@gmail.com,,,,
Privato,B,PAZ05125,Romano Filippo,"Via Dante, 187",80123,Napoli,NA,Campania,Italia,,RMNFPP00C15F839,,,,,,,Banca Mediolanum,Bonifico bancario 30gg,Sì,Filippo Romano,Casa,0473383885,,,,,3014906449,,filippo.romano65@gmail.com,,,,
Privato,,PAZ02928,Sorrentino Teresa,"Via IV Novembre, 149",00121,Roma,RM,Lazio,Italia,,SRRTRS56A48H501,,,,,,,BPER Banca,RID bancario,Sì,Teresa Sorrentino,Casa,0528253690,,,,,3491910505,,teresa.sorrentino87@libero.it,,,,
Privato,,PAZ03166,Pellegrini Giuseppe,"Via Marconi, 157",00100,Roma,RM,Lazio,Italia,,PLLGPP75R28H501,,,,,,,BPER Banca,Contanti,Sì,Giuseppe Pellegrini,Casa,0627813357,,,,,3758768553,,giuseppe.pellegrini16@gmail.com,,,,
Privato,C,EXT14443,Pagano Simona,"Via Tasso, 25",80122,Napoli,NA,Campania,Italia,,PGNSMN78P65F839,,,,,,,Banca Mediolanum,RID bancario,Sì,Simona Pagano,Casa,0969379799,,,,,3233779202,,simona.pagano63@libero.it,,,,
Privato,B,PAZ03378,Greco Anna,"Via XX Settembre, 51",10121,Torino,TO,Piemonte,Italia,,GRCNNA65H57L219,,,,,,,BPER Banca,Bonifico bancario 30gg,Sì,Anna Greco,Casa,0791905869,,,,,3334570489,,anna.greco19@libero.it,,,,
Privato,B,PAZ00180,Gallo Monica,"Via della Repubblica, 11",80123,Napoli,NA,Campania,Italia,,GLLMNC50B56F839,,,,,,,Banco BPM,RID bancario,Sì,Monica Gallo,Casa,0364020567,,,,,3628821707,,monica.gallo13@libero.it,,,,
Azienda,,PAZ06223,Coppola Giorgio,"Via Garibaldi, 131",00100,Roma,RM,Lazio,Italia,,CPPGRG67T09H501,,,,,,,Banca Intesa Sanpaolo,PayPal,No,Giorgio Coppola,Casa,0183611619,,,,,3991823533,,giorgio.coppola68@libero.it,,,,
Privato,B,EXT12515,Colombo Patrizia,"Via Roma, 194",00100,Roma,RM,Lazio,Italia,,CLMPRZ78D45H501,,,,,,,Poste Italiane - BancoPosta,RID bancario,Sì,Patrizia Colombo,Casa,0704945560,,,,,3015189947,,patrizia.colombo93@gmail.com,,,,
Privato,A,PAZ04554,Rossi Nicola,"Via Matteotti, 92",80121,Napoli,NA,Campania,Italia,,RSSNCL98P21F839,,,,,,,Banca Mediolanum,Contanti,No,Nicola Rossi,Casa,0646388584,,,,,3654819554,,nicola.rossi13@libero.it,,,,
Privato,C,PAZ02218,Pagano Giovanna,"Via Cavour, 162",20121,Milano,MI,Lombardia,Italia,,PGNGNN80M55F205,,,,,,,Banco BPM,RID bancario,No,Giovanna Pagano,Casa,0764799625,,,,,3148582242,,giovanna.pagano20@gmail.com,,,,
Professionista,B,EXT12668,Grassi Angela,"Viale Europa, 121",80122,Napoli,NA,Campania,Italia,,GRSNGL83D44F839,,,,,,,UniCredit,Carta di credito,No,Angela Grassi,Casa,0772851236,,,,,3773785963,,angela.grassi86@gmail.com,,,,
Privato,B,PAZ01955,Longo Enrico,"Via Garibaldi, 121",00118,Roma,RM,Lazio,Italia,,LNGNRC96L14H501,,,,,,,UniCredit,Bonifico bancario 30gg,Sì,Enrico Longo,Casa,0821987009,,,,,3987239917,,enrico.longo69@gmail.com,,,,
Privato,,PAZ01057,Greco Davide,"Via Marconi, 52",00136,Roma,RM,Lazio,Italia,,GRCDVD81T17H501,,,,,,,Banca Intesa Sanpaolo,Contanti,No,Davide Greco,Casa,0802571115,,,,,3025894594,,davide.greco16@libero.it,,,,
Privato,A,PAZ05967,Amato Concetta,"Via Garibaldi, 94",00141,Roma,RM,Lazio,Italia,,MTACCT36D42H501,,,,,,,BPER Banca,Assegno bancario,Sì,Concetta Amato,Casa,0939447129,,,,,3776616155,,concetta.amato33@gmail.com,,,,
Azienda,B,PAZ06383,Orlando Antonio,"Via XX Settembre, 170",00136,Roma,RM,Lazio,Italia,,RLNNTN62R05H501,,,,,,,Banca Intesa Sanpaolo,Carta di credito,No,Antonio Orlando,Casa,0164460736,,,,,3148691439,,antonio.orlando40@gmail.com,,,,
Azienda,A,EXT10539,Napolitano Lorenzo,"Viale Europa, 154",00100,Roma,RM,Lazio,Italia,,NPLLNZ90C24H501,,,,,,,Banco BPM,Assegno bancario,Sì,Lorenzo Napolitano,Casa,0726971680,,,,,3260145519,,lorenzo.napolitano90@gmail.com,,,,
Privato,C,EXT13173,Barbieri Anna,"Via Milano, 115",00118,Roma,RM,Lazio,Italia,,BRBNNA73R68H501,,,,,,,Banca Intesa Sanpaolo,PayPal,Sì,Anna Barbieri,Casa,0859318522,,,,,3186292179,,anna.barbieri91@libero.it,,,,
Professionista,B,PAZ01399,Palumbo Valentina,"Via Cavour, 19",80132,Napoli,NA,Campania,Italia,,PLMVNT54D63F839,,,,,,,Banco BPM,Contanti,Sì,Valentina Palumbo,Casa,0764122704,,,,,3776964053,,valentina.palumbo45@gmail.com,,,,
Privato,A,EXT13744,Marini Paolo,"Via Napoli, 153",00136,Roma,RM,Lazio,Italia,,MRNPLA54P02H501,,,,,,,UniCredit,Assegno bancario,No,Paolo Marini,Casa,0376378622,,,,,3650907221,,paolo.marini26@gmail.com,,,,
Privato,B,PAZ05572,Carbone Anna,"Via Cavour, 47",00141,Roma,RM,Lazio,Italia,,CRBNNA77T43H501,,,,,,,BPER Banca,Contanti,No,Anna Carbone,Casa,0479397142,,,,,3810525468,,anna.carbone42@gmail.com,,,,
Privato,C,EXT10522,Greco Fabio,"Via Matteotti, 20",00100,Roma,RM,Lazio,Italia,,GRCFBA41C24H501,,,,,,,UniCredit,Contanti,Sì,Fabio Greco,Casa,0547311131,,,,,3394384622,,fabio.greco18@gmail.com,,,,
Privato,,PAZ04125,De Angelis Monica,"Piazza del Comune, 35",80132,Napoli,NA,Campania,Italia,,DNGMNC90A60F839,,,,,,,Banca MPS,RID bancario,Sì,Monica De Angelis,Casa,0755331923,,,,,3762554806,,monica.deangelis35@gmail.com,,,,
Privato,A,PAZ09426,Martini Federica,"Piazza del Comune, 73",00118,Roma,RM,Lazio,Italia,,MRTFRC46D62H501,,,,,,,Banca MPS,Assegno bancario,Sì,Federica Martini,Casa,0986743495,,,,,3125045930,,federica.martini25@libero.it,,,,
Privato,,EXT11060,Fontana Pietro,"Via Napoli, 53",10123,Torino,TO,Piemonte,Italia,,FNTPTR68B12L219,,,,,,,Poste Italiane - BancoPosta,Carta di credito,No,Pietro Fontana,Casa,0206464627,,,,,3936732004,,pietro.fontana57@gmail.com,,,,
Privato,,PAZ02234,Barbieri Fabio,"Via IV Novembre, 108",20123,Milano,MI,Lombardia,Italia,,BRBFBA61T18F205,,,,,,,UniCredit,PayPal,No,Fabio Barbieri,Casa,0656987678,,,,,3848806471,,fabio.barbieri32@libero.it,,,,
Privato,A,EXT12041,Serra Concetta,"Corso Umberto I, 30",84122,Salerno,SA,Campania,Italia,,SRRCCT85H54H703,,,,,,,UniCredit,Bonifico bancario 30gg,No,Concetta Serra,Casa,0246028404,,,,,3165789264,,concetta.serra95@gmail.com,,,,
Privato,,PAZ07142,Piccolo Cristina,"Corso Italia, 36",80123,Napoli,NA,Campania,Italia,,PCCCST61C66F839,,,,,,,UniCredit,Bonifico bancario 30gg,No,Cristina Piccolo,Casa,0817675823,,,,,3112210592,,cristina.piccolo21@gmail.com,,,,
Privato,,EXT13363,Martinelli Alessandro,"Via Verdi, 177",20121,Milano,MI,Lombardia,Italia,,MRTLSN69L09F205,,,,,,,Banca MPS,Contanti,Sì,Alessandro Martinelli,Casa,0396707384,,,,,3822044399,,alessandro.martinelli92@gmail.com,,,,
Privato,C,PAZ01210,Piccolo Nicola,"Via Cavour, 59",10121,Torino,TO,Piemonte,Italia,,PCCNCL70L16L219,,,,,,,Banco BPM,Assegno bancario,No,Nicola Piccolo,Casa,0979703693,,,,,3688181109,,nicola.piccolo63@libero.it,,,,
Privato,B,EXT12867,Barone Paola,"Via Mazzini, 105",20123,Milano,MI,Lombardia,Italia,,BRNPLA88M48F205,,,,,,,UniCredit,Assegno bancario,Sì,Paola Barone,Casa,0259078015,,,,,3115809194,,paola.barone65@gmail.com,,,,
Professionista,,EXT10437,Russo Paola,"Corso Vittorio Emanuele, 138",20122,Milano,MI,Lombardia,Italia,,RSSPLA52R68F205,,,,,,,Banca MPS,Carta di credito,No,Paola Russo,Casa,0737218275,,,,,3060786322,,paola.russo64@libero.it,,,,
Professionista,A,PAZ02238,Ferrara Gianluca,"Via della Libertà, 56",20125,Milano,MI,Lombardia,Italia,,FRRGLC80L23F205,,,,,,,Banca MPS,Contanti,No,Gianluca Ferrara,Casa,0472675369,,,,,3577584023,,gianluca.ferrara90@gmail.com,,,,
Privato,B,PAZ06277,Fontana Sara,"Via della Libertà, 135",80131,Napoli,NA,Campania,Italia,,FNTSRA65L44F839,,,,,,,UniCredit,Assegno bancario,Sì,Sara Fontana,Casa,0937318266,,,,,3180869181,,sara.fontana36@gmail.com,,,,
Privato,,EXT10742,Vitale Luca,"Corso Italia, 66",20125,Milano,MI,Lombardia,Italia,,VTLLCU87C24F205,,,,,,,Poste Italiane - BancoPosta,Assegno bancario,Sì,Luca Vitale,Casa,0601107677,,,,,3810869364,,luca.vitale42@libero.it,,,,
Privato,A,PAZ02948,Carbone Antonio,"Via Matteotti, 38",00141,Roma,RM,Lazio,Italia,,CRBNTN74L22H501,,,,,,,Poste Italiane - BancoPosta,Carta di credito,Sì,Antonio Carbone,Casa,0577450080,,,,,3887106017,,antonio.carbone2@gmail.com,,,,
Privato,C,EXT11767,Ferrari Alessandro,"Via Marconi, 156",10122,Torino,TO,Piemonte,Italia,,FRRLSN04L14L219,,,,,,,Poste Italiane - BancoPosta,Contanti,Sì,Alessandro Ferrari,Casa,0162450086,,,,,3549917556,,alessandro.ferrari18@gmail.com,,,,
Azienda,A,PAZ08388,Ferretti Filippo,"Via Milano, 90",80132,Napoli,NA,Campania,Italia,,FRRFPP70M03F839,,,,,,,Banca Mediolanum,Carta di credito,No,Filippo Ferretti,Casa,0288844292,,,,,3682695635,,filippo.ferretti58@libero.it,,,,
Professionista,C,EXT10163,Vitale Bruno,"Via della Libertà, 155",20121,Milano,MI,Lombardia,Italia,,VTLBRN02L25F205,,,,,,,UniCredit,Bonifico bancario 30gg,Sì,Bruno Vitale,Casa,0357497953,,,,,3793638413,,bruno.vitale95@gmail.com,,,,
Privato,B,PAZ04156,Silvestri Giuseppe,"Corso Umberto I, 27",10124,Torino,TO,Piemonte,Italia,,SLVGPP55D12L219,,,,,,,Banco BPM,Bonifico bancario 30gg,Sì,Giuseppe Silvestri,Casa,0268010841,,,,,3068713674,,giuseppe.silvestri27@gmail.com,,,,
Privato,B,PAZ07662,Greco Matteo,"Via Roma, 71",84121,Salerno,SA,Campania,Italia,,GRCMTT47S08H703,,,,,,,UniCredit,Contanti,Sì,Matteo Greco,Casa,0295046690,,,,,3845478495,,matteo.greco98@libero.it,,,,
Privato,,EXT12286,Ferretti Ilaria,"Via Garibaldi, 195",10123,Torino,TO,Piemonte,Italia,,FRRLRI90P64L219,,,,,,,Banco BPM,Bonifico bancario 30gg,No,Ilaria Ferretti,Casa,0276813048,,,,,3566717053,,ilaria.ferretti60@libero.it,,,,
Privato,C,PAZ03577,Mancini Elena,"Via Verdi, 37",00100,Roma,RM,Lazio,Italia,,MNCLNE97E66H501,,,,,,,Banca MPS,PayPal,Sì,Elena Mancini,Casa,0146794837,,,,,3775015288,,elena.mancini94@libero.it,,,,
Azienda,,PAZ04410,Pellegrini Carmela,"Via Leopardi, 12",84123,Salerno,SA,Campania,Italia,,PLLCML71H56H703,,,,,,,Banca MPS,RID bancario,Sì,Carmela Pellegrini,Casa,0167014720,,,,,3932311274,,carmela.pellegrini34@libero.it,,,,
Privato,B,PAZ05294,Cattaneo Claudio,"Piazza del Comune, 183",80123,Napoli,NA,Campania,Italia,,CTTCLD88L08F839,,,,,,,Poste Italiane - BancoPosta,Bonifico bancario 30gg,Sì,Claudio Cattaneo,Casa,0514258699,,,,,3478526917,,claudio.cattaneo33@gmail.com,,,,
Privato,C,EXT11936,Sartori Angelo,"Via Dante, 86",80123,Napoli,NA,Campania,Italia,,SRTNGL69E11F839,,,,,,,Banca Intesa Sanpaolo,PayPal,Sì,Angelo Sartori,Casa,0413248631,,,,,3445097786,,angelo.sartori88@gmail.com,,,,
Professionista,,PAZ01434,Sorrentino Federico,"Via Garibaldi, 199",20123,Milano,MI,Lombardia,Italia,,SRRFRC03E16F205,,,,,,,Banca Intesa Sanpaolo,Assegno bancario,No,Federico Sorrentino,Casa,0945388404,,,,,3765460960,,federico.sorrentino55@gmail.com,,,,
Privato,C,EXT14981,Barone Concetta,"Corso Italia, 52",80131,Napoli,NA,Campania,Italia,,BRNCCT68R65F839,,,,,,,Banca MPS,RID bancario,No,Concetta Barone,Casa,0754781638,,,,,3756676825,,concetta.barone74@libero.it,,,,
Privato,,PAZ00092,Cattaneo Massimo,"Via Cavour, 73",10123,Torino,TO,Piemonte,Italia,,CTTMSM49R20L219,,,,,,,Banco BPM,Bonifico bancario 30gg,No,Massimo Cattaneo,Casa,0358164429,,,,,3452972248,,massimo.cattaneo59@libero.it,,,,
Privato,,EXT11385,Fabbri Stefano,"Corso Vittorio Emanuele, 132",20123,Milano,MI,Lombardia,Italia,,FBBSFN90H05F205,,,,,,,Banca MPS,Bonifico bancario 30gg,No,Stefano Fabbri,Casa,0294198967,,,,,3087199273,,stefano.fabbri19@libero.it,,,,
Professionista,B,PAZ07925,Marino Roberto,"Via Dante, 24",10125,Torino,TO,Piemonte,Italia,,MRNRRT85P06L219,,,,,,,BPER Banca,Bonifico bancario 30gg,Sì,Roberto Marino,Casa,0394697101,,,,,3595246446,,roberto.marino92@libero.it,,,,
Professionista,B,PAZ05849,Russo Stefano,"Via Leopardi, 176",00141,Roma,RM,Lazio,Italia,,RSSSFN60A08H501,,,,,,,Banca Intesa Sanpaolo,Contanti,Sì,Stefano Russo,Casa,0363085357,,,,,3699692041,,stefano.russo79@libero.it,,,,
Privato,A,EXT13065,Orlando Lorenza,"Via Mazzini, 77",00100,Roma,RM,Lazio,Italia,,RLNLNZ98A56H501,,,,,,,Banca MPS,Carta di credito,Sì,Lorenza Orlando,Casa,0265959031,,,,,3914625463,,lorenza.orlando79@libero.it,,,,
Professionista,B,PAZ08454,Amato Daniele,"Via Milano, 156",00141,Roma,RM,Lazio,Italia,,MTADNL01S08H501,,,,,,,Banca Intesa Sanpaolo,Assegno bancario,No,Daniele Amato,Casa,0506745614,,,,,3630862382,,daniele.amato28@gmail.com,,,,
Privato,C,EXT13316,Monti Gianluca,"Via Mazzini, 1",20121,Milano,MI,Lombardia,Italia,,MNTGLC80D22F205,,,,,,,Banco BPM,Carta di credito,No,Gianluca Monti,Casa,0787896378,,,,,3979507476,,gianluca.monti24@libero.it,,,,
Privato,B,PAZ06215,Gallo Mario,"Via Tasso, 160",20122,Milano,MI,Lombardia,Italia,,GLLMRA48S12F205,,,,,,,Banca MPS,RID bancario,Sì,Mario Gallo,Casa,0491547169,,,,,3459760184,,mario.gallo48@gmail.com,,,,
Azienda,C,PAZ03465,Grassi Fabio,"Via della Repubblica, 143",80132,Napoli,NA,Campania,Italia,,GRSFBA69B13F839,,,,,,,Banca MPS,Bonifico bancario 30gg,No,Fabio Grassi,Casa,0102684133,,,,,3446780879,,fabio.grassi55@libero.it,,,,
Privato,C,PAZ09537,Ferretti Rosa,"Via Napoli, 94",80131,Napoli,NA,Campania,Italia,,FRRRSO98E51F839,,,,,,,Banca Intesa Sanpaolo,RID bancario,No,Rosa Ferretti,Casa,0146527710,,,,,3291117511,,rosa.ferretti85@libero.it,,,,
Privato,C,EXT14197,Grassi Ilaria,"Via Roma, 126",80121,Napoli,NA,Campania,Italia,,GRSLRI42A59F839,,,,,,,Banca Intesa Sanpaolo,Bonifico bancario 30gg,No,Ilaria Grassi,Casa,0251538095,,,,,3913791484,,ilaria.grassi64@gmail.com,,,,
Privato,,PAZ07438,Orlando Claudio,"Corso Vittorio Emanuele, 87",20125,Milano,MI,Lombardia,Italia,,RLNCLD72T19F205,,,,,,,UniCredit,Carta di credito,No,Claudio Orlando,Casa,0565920557,,,,,3526939573,,claudio.orlando45@gmail.com,,,,
Privato,B,EXT10279,Romano Elena,"Via Roma, 94",80131,Napoli,NA,Campania,Italia,,RMNLNE83S62F839,,,,,,,Banca MPS,Bonifico bancario 30gg,Sì,Elena Romano,Casa,0599712563,,,,,3139525532,,elena.romano54@libero.it,,,,
Privato,,PAZ06596,Bianchi Carlo,"Via Roma, 180",80131,Napoli,NA,Campania,Italia,,BNCCRL83M27F839,,,,,,,Banca Intesa Sanpaolo,Assegno bancario,Sì,Carlo Bianchi,Casa,0702835103,,,,,3498203252,,carlo.bianchi32@libero.it,,,,
Professionista,C,PAZ09314,Serra Stefano,"Via Milano, 160",80122,Napoli,NA,Campania,Italia,,SRRSFN07C02F839,,,,,,,Banca Mediolanum,Assegno bancario,No,Stefano Serra,Casa,0119887898,,,,,3145548055,,stefano.serra98@gmail.com,,,,
Privato,,EXT10466,Giordano Cinzia,"Via della Repubblica, 22",20121,Milano,MI,Lombardia,Italia,,GRDCNZ55H66F205,,,,,,,BPER Banca,Contanti,Sì,Cinzia Giordano,Casa,0953258722,,,,,3828016442,,cinzia.giordano62@libero.it,,,,
Privato,,PAZ09356,Villa Claudio,"Via IV Novembre, 36",80131,Napoli,NA,Campania,Italia,,VLLCLD86L01F839,,,,,,,Banca Intesa Sanpaolo,Assegno bancario,No,Claudio Villa,Casa,0328908086,,,,,3047048699,,claudio.villa57@libero.it,,,,
Privato,A,PAZ01084,Esposito Mario,"Via XX Settembre, 94",10125,Torino,TO,Piemonte,Italia,,SPSMRA83R05L219,,,,,,,UniCredit,Bonifico bancario 30gg,Sì,Mario Esposito,Casa,0127016144,,,,,3575226059,,mario.esposito95@libero.it,,,,
Privato,A,PAZ08749,Martinelli Paola,"Via della Repubblica, 104",20125,Milano,MI,Lombardia,Italia,,MRTPLA58D42F205,,,,,,,Banca MPS,RID bancario,No,Paola Martinelli,Casa,0856766071,,,,,3476183169,,paola.martinelli42@gmail.com,,,,
